emp_no,first_name,last_name,title,from_date,salary
10122,Ohad,Esposito,Technique Leader,1998-08-06,42284
10095,Hilari,Morton,Senior Staff,2000-03-09,63668
10095,Hilari,Morton,Staff,1994-03-10,63668
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,57430
10291,Dipayan,Seghrouchni,Staff,1987-03-30,57430
10663,Teunis,Noriega,Technique Leader,1993-01-23,47521
10410,Takahito,Gecsei,Staff,1993-10-16,46546
10476,Kokou,Iisaka,Senior Staff,1994-09-20,58221
10476,Kokou,Iisaka,Staff,1987-09-20,58221
10480,Make,Baba,Staff,1988-05-18,55669
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,40000
11015,Jeanna,Riesenhuber,Senior Staff,1998-03-14,57076
10762,Lech,Himler,Senior Staff,1999-01-21,52172
10762,Lech,Himler,Staff,1992-01-21,52172
12155,Keiichiro,Glinert,Engineer,1993-09-16,55355
11126,Hideo,Daescu,Senior Staff,1999-02-25,40000
11126,Hideo,Daescu,Staff,1992-02-25,40000
11157,Mario,Cochrane,Engineer,1985-03-30,50629
11432,Yongmao,Zwicker,Engineer,1987-10-19,40208
11432,Yongmao,Zwicker,Senior Engineer,1996-10-18,40208
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,55355
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,40000
12643,Morrie,Schurmann,Staff,1998-12-31,114784
13957,Angus,Chelton,Senior Engineer,1986-04-18,62604
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,40000
14075,Denny,Tchuente,Assistant Engineer,1991-05-30,40000
14075,Denny,Tchuente,Engineer,1998-05-30,40000
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,40327
14104,Sudhanshu,Demian,Staff,1994-07-23,40327
14127,Magdalena,Cannard,Engineer,1994-04-22,50454
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,50454
14551,Richard,Sinitsyn,Senior Staff,1993-06-27,83296
14158,Caolyn,Setiz,Senior Staff,1996-02-06,67559
14158,Caolyn,Setiz,Staff,1990-02-06,67559
15050,Nikolaos,Kruskal,Engineer,1990-12-17,46188
14476,Sastry,Marrevee,Engineer,1999-09-25,72512
14907,Nakhoon,Luga,Senior Staff,1994-12-18,69351
14907,Nakhoon,Luga,Staff,1986-12-18,69351
15376,Geoff,Soicher,Senior Staff,1996-08-14,40000
15376,Geoff,Soicher,Staff,1988-08-14,40000
15413,Arvin,Rabejac,Engineer,1994-01-01,40000
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,40000
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,46188
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,62294
15058,Bouchung,Bugrara,Staff,1990-06-18,62294
16461,Remmert,Schahn,Senior Staff,1994-09-06,83638
16461,Remmert,Schahn,Staff,1986-09-06,83638
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,49557
16528,Gaurav,Swick,Engineer,2001-05-07,49557
17013,Morris,Garigliano,Senior Staff,2000-05-23,55776
17013,Morris,Garigliano,Staff,1995-05-24,55776
17206,Berry,DeMori,Engineer,1992-12-27,40000
17206,Berry,DeMori,Senior Engineer,1998-12-27,40000
17369,Yaghout,Kenevan,Engineer,1993-01-28,40000
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,40000
17447,Zengping,Boreale,Staff,1998-12-16,65188
17618,Teiji,Picco,Staff,1992-09-17,40000
17731,Gennady,Roison,Assistant Engineer,1989-12-06,68972
17731,Gennady,Roison,Engineer,1997-12-06,68972
17799,Gro,Gini,Engineer,1997-09-28,72593
17970,Filipp,Carrere,Technique Leader,1989-01-09,40000
17988,Mabhin,Calkin,Engineer,1989-11-30,52284
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,52284
18021,Adil,Matzke,Engineer,1987-05-08,40000
18021,Adil,Matzke,Senior Engineer,1995-05-08,40000
18187,Denis,Falster,Staff,1998-12-21,63588
18424,Filipp,Rousseau,Engineer,1995-06-07,40000
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,40000
18583,Stafford,Honglei,Staff,1998-08-16,40000
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,40000
18617,Surveyors,Crouzet,Staff,1989-04-24,40000
18810,Taiji,Jarecki,Engineer,1991-06-27,40000
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,40000
19803,Ziva,Kowalchuk,Engineer,1987-06-13,71465
19236,Elzbieta,Morris,Engineer,1988-07-12,67760
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,67760
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,41182
19350,Satoru,Yoshizawa,Staff,1994-03-27,41182
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,71465
20100,Utz,Heuter,Senior Staff,1995-06-15,64100
20100,Utz,Heuter,Staff,1986-06-15,64100
20128,Kazunori,Peak,Senior Staff,1999-08-13,40000
20129,Rafael,Skafidas,Engineer,1991-03-28,53292
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,53292
20500,Christoph,Trystram,Senior Staff,1998-10-15,40000
20248,Vidar,Demri,Staff,1999-12-31,40000
20500,Christoph,Trystram,Staff,1993-10-15,40000
20712,Valeri,Escriba,Engineer,1994-04-09,71743
20313,Candida,Benveniste,Engineer,1999-01-20,40000
20885,Otmar,Rothenberg,Engineer,1989-03-14,59704
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,59704
20720,Heejo,Brodie,Senior Staff,1996-12-27,40000
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,52216
21181,Jianhui,Cangellaris,Assistant Engineer,1991-10-06,60114
21181,Jianhui,Cangellaris,Engineer,1999-10-06,60114
21188,Piyush,Danecki,Engineer,2000-01-08,40000
21534,Alagu,Luders,Staff,1996-04-03,40000
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,75391
